year,porter_guide,rafting_agency,river_guide,tour_guide,tourist_transportation_service,travel_agency,trekking_agency,trekking_guide
2069.0,0.0,52.0,100.0,0.0,31.0,2239.0,1598.0,0.0
2070.0,0.0,60.0,131.0,3141.0,50.0,2450.0,1761.0,9741.0
2071.0,0.0,61.0,131.0,3335.0,59.0,2611.0,1903.0,10436.0
2072.0,0.0,66.0,187.0,3507.0,67.0,2768.0,2019.0,11358.0
2073.0,0.0,72.0,207.0,3717.0,72.0,3444.0,2367.0,13049.0
2074.0,0.0,73.0,230.0,3876.0,72.0,3824.0,2637.0,13831.0
2075.0,0.0,73.0,253.0,4126.0,77.0,3508.0,2649.0,16248.0
2076.0,0.0,81.0,266.0,4200.0,82.0,3680.0,2764.0,17625.0
2077.0,0.0,82.0,280.0,4241.0,84.0,3743.0,2797.0,17766.0
2078.0,0.0,87.0,324.0,4557.0,85.0,3801.0,2821.0,19166.0
2079.0,0.0,94.0,372.0,4975.0,92.0,4773.0,3136.0,25483.0
2080.0,73.0,94.0,390.0,5123.0,112.0,4845.0,3191.0,26292.0
2081.0,351.0,97.0,425.0,5269.0,155.0,4963.0,3252.0,27128.0
