year,third_country,indian,change,ad_year,total_arrivals,annual_growth,avg_stay,by_air,by_land,arrivals_by_air,arrivals_by_land,air_share_pct,land_share_pct,avg_stay_days,annual_growth_pct,air_dominance_ratio,fx_earnings_npr_million,air_connectivity_index,hotel_count,bed_count,park_visitors,trekkers,holiday_arrivals,complaints,yield_per_arrival,park_pressure_index,trekking_share_pct,holiday_share_pct,complaints_per_100k_arrivals,bed_capacity_per_1000_arrivals
1996,271101,122512,8.3,1996.0,393613,8.3,13.5,343246.0,50367.0,343246.0,50367.0,87.2,12.8,13.5,8.3,0.8720392873202867,,,,,,,209377,,,,,53.19361911318986,,
1997,288419,133438,7.2,1997.0,421857,7.2,10.49,371145.0,50712.0,371145.0,50712.0,88.0,12.0,10.49,7.2,0.8797886487601249,,,,,,,249360,,,,,59.11007758553254,,
1998,320455,143229,9.9,1998.0,463684,9.9,10.76,398008.0,65676.0,398008.0,65676.0,85.8,14.2,10.76,9.9,0.8583604351239206,,,,,,,261347,,,,,56.363169744912476,,
1999,350843,140661,6.0,1999.0,491504,6.0,12.28,421243.0,70261.0,421243.0,70261.0,85.7,14.3,12.28,6.0,0.8570489762036525,,,,,,,290862,,,,,59.17795175624207,,
2000,367731,95915,-5.7,2000.0,463646,-5.7,11.88,376914.0,86732.0,376914.0,86732.0,81.3,18.7,11.88,-5.7,0.8129348684125389,,,,,,,255889,,,,,55.1905979993357,,
2001,296917,64320,-22.1,2001.0,361237,-22.1,11.93,299514.0,61723.0,299514.0,61723.0,82.9,17.1,11.93,-22.1,0.8291343356300711,8654.3,,,,,3354.0,187022,,0.023957401927266586,,0.9284763188709905,51.77265894689636,,
2002,208691,66777,-23.7,2002.0,275468,-23.7,7.92,218660.0,56808.0,218660.0,56808.0,79.4,20.6,7.92,-23.7,0.7937764096011152,11747.7,,,,,1979.0,110143,,0.042646332786385355,,0.7184137540476571,39.983954579116265,,
2003,251769,86363,22.7,2003.0,338132,22.7,9.6,275438.0,62694.0,275438.0,62694.0,81.5,18.5,9.6,22.7,0.8145872026309252,18147.4,,,,,2365.0,97904,,0.05366957282954586,,0.6994309914471272,28.954372848473376,,
2004,294971,90326,13.9,2004.0,385297,13.9,13.51,297335.0,87962.0,297335.0,87962.0,77.2,22.8,13.51,13.9,0.771703387257103,10463.8,,996.0,39107.0,,3223.0,167262,,0.02715775103361822,,0.8364975590258943,43.41118669493923,,101.49832466902156
2005,278964,96434,-2.6,2005.0,375398,-2.6,9.09,277346.0,98052.0,277346.0,98052.0,73.9,26.1,9.09,-2.6,0.7388052147320977,9555.8,,1006.0,39384.0,,2714.0,160259,,0.02545511696919003,,0.7229660253917176,42.690424562730755,,104.91265270459618
2006,290204,93722,2.3,2006.0,383926,2.3,10.2,283819.0,100107.0,283819.0,100107.0,73.9,26.1,10.2,2.3,0.7392544396576424,10125.3,,607.0,24260.0,,3112.0,145802,,0.02637305105671405,,0.8105728708136464,37.97658923855118,,63.189260430395436
2007,430695,96010,37.2,2007.0,526705,37.2,11.96,360713.0,165992.0,360713.0,165992.0,68.5,31.5,11.96,37.2,0.6848482547156378,18653.1,,617.0,24660.0,,5327.0,217815,,0.03541470082873715,,1.0113820829496587,41.35426851843062,,46.819377070656245
2008,409100,91177,-5.0,2008.0,500277,-5.0,11.78,374661.0,125616.0,374661.0,125616.0,74.9,25.1,11.78,-5.0,0.7489071054635732,27959.8,,669.0,26063.0,,6448.0,148180,,0.05588863769471712,,1.2888859571797224,29.619590746726317,,52.09713818544527
2009,416072,93884,1.9,2009.0,509956,1.9,11.32,379322.0,130634.0,379322.0,130634.0,74.4,25.6,11.32,1.9,0.7438328012612853,28138.6,,744.0,28493.0,,6979.0,140992,,0.05517848598702633,,1.3685494434813985,27.64787550298457,,55.87344790530948
2010,481969,120898,18.2,2010.0,602867,18.2,12.67,448800.0,154067.0,448800.0,154067.0,74.4,25.6,12.67,18.2,0.7444428041342452,24610.7,,789.0,29642.0,224976.0,9015.0,263938,,0.040822768537670834,7.589771270494569,1.49535469680709,43.78046899233164,,49.16839037465975
2011,586711,149504,22.1,2011.0,736215,22.1,13.12,545221.0,190994.0,545221.0,190994.0,74.1,25.9,13.12,22.1,0.7405730662917762,30703.8,,827.0,30780.0,194123.0,10715.0,425721,,0.04170493673723029,6.30679012345679,1.455417235454317,57.825635174507454,,41.80843911085756
2012,637277,165815,9.1,2012.0,803092,9.1,12.16,598258.0,204834.0,598258.0,204834.0,74.5,25.5,12.16,9.1,0.7449432941680405,34210.6,,853.0,31657.0,267280.0,11632.0,379627,,0.042598606386316885,8.4429983889819,1.4484019265538692,47.270673845586806,,39.41889596708721
2013,616642,180974,-0.7,2013.0,797616,-0.7,12.6,594848.0,202768.0,594848.0,202768.0,74.6,25.4,12.6,-0.7,0.745782431646306,46374.9,92695.0,1026.0,34523.0,390297.0,12937.0,437891,,0.05814188782572065,11.30541957535556,1.6219584361396964,54.899976931255146,,43.282732542978074
2014,654775,135343,-0.9,2014.0,790118,-0.9,12.44,585981.0,204137.0,585981.0,204137.0,74.2,25.8,12.44,-0.9,0.7416373250577761,53428.6,95744.0,1075.0,36179.0,426321.0,15065.0,395849,,0.06762103888279979,11.783659028718317,1.906677230489623,50.09998506552186,,45.789363107788965
2015,464156,74814,-31.0,2015.0,538970,-32.0,13.16,407412.0,131558.0,407412.0,131558.0,75.6,24.4,13.16,-32.0,0.7559084921238659,41765.3,92429.0,1073.0,36950.0,304412.0,9679.0,386065,,0.07749095496966436,8.23848443843031,1.795832792177672,71.63014639033712,,68.55669146705753
2016,634753,118249,40.0,2016.0,753002,40.0,13.4,572563.0,180439.0,572563.0,180439.0,76.0,24.0,13.4,40.0,0.7603738104281264,58526.9,100994.0,1105.0,38242.0,220654.0,23273.0,489451,,0.07772476035920224,5.769938810731657,3.09069564224265,64.99996015946837,,50.78605368910043
2017,779386,160832,25.0,2017.0,940218,25.0,12.6,760577.0,179641.0,760577.0,179641.0,81.0,19.0,12.6,25.0,0.8089368635784467,68521.7,126459.0,1102.0,39833.0,366755.0,29993.0,658153,,0.07287852391679377,9.207315542389477,3.190004871210719,70.00004254332507,,42.36570667653672
2018,978749,194323,25.0,2018.0,1173072,25.0,12.4,969287.0,203785.0,969287.0,203785.0,82.63,17.37,12.4,25.0,0.8262809102936564,75374.1,,1254.0,40856.0,395791.0,28876.0,703843,,0.06425360080199681,9.687463285686313,2.461570986265123,59.99998295074812,,34.82821173806893
2019,943041,254150,2.0,2019.0,1197191,2.05,12.7,995884.0,201307.0,995884.0,201307.0,83.19,16.81,12.7,2.05,0.8318505568451483,60885.0,129464.0,1289.0,43999.0,430505.0,25079.0,778173,,0.05085654669973296,9.784426918793608,2.0948202918331327,64.99990394181046,,36.75186332005503
2020,189749,40336,-80.7,2020.0,230085,-80.7,15.1,183130.0,46955.0,183130.0,46955.0,79.6,20.4,15.1,-80.7,0.7959232457570028,7266.3,48854.0,1313.0,45850.0,261978.0,692.0,139202,223.0,0.0315809374796271,5.7138058887677206,0.3007584153682335,60.500249907642825,96.92070321837582,199.274181280831
2021,86290,64672,-34.3,2021.0,150962,-34.3,15.5,150625.0,337.0,150625.0,337.0,99.7,0.3,15.5,-34.3,0.9977676501371207,32447.2,92932.0,1345.0,48412.0,11834.0,2326.0,100843,94.0,0.2149362091122269,0.24444352639841363,1.5407850982366422,66.80025436864906,62.2673255521257,320.6899749605861
2022,405535,209334,307.3,2022.0,614869,307.3,13.1,592631.0,22238.0,592631.0,22238.0,96.4,3.6,13.1,307.3,0.9638329465300739,61522.7,232047.0,1401.0,53365.0,75608.0,15781.0,397820,323.0,0.10005822378425322,1.4168087697929355,2.566562958939221,64.69996047938666,52.53151484299908,86.79084487915311
2023,694946,319936,65.05,2023.0,1014882,65.05,13.2,914270.0,100612.0,914270.0,100612.0,90.09,9.91,13.2,65.05,0.900863351601467,82326.6,128449.0,1416.0,54370.0,300878.0,6854.0,634301,564.0,0.08111938136650369,5.533897369873092,0.6753494494926504,62.49997536659434,55.57296316221985,53.572730622870445
2024,829767,317781,13.07,2024.0,1147548,13.07,13.3,1023937.0,123611.0,1023937.0,123611.0,89.23,10.77,13.3,13.07,0.8922825014727053,,135976.0,1578.0,62642.0,464657.0,28894.0,693119,428.0,,7.417659078573481,2.5178903191849056,60.40000069713859,37.29691481314943,54.587694806666036
